configuration,training_size,h_coefficient,ema_alpha,p,d,q,TP,FP,FN,work_time_mean,work_time_std,power,significance
beta,50,17.625,0.05,0,1,0,0,23,0,3.1019,0.1905,0.0,0.023
beta,50,19.40625,0.05,0,0,0,0,2,0,4.258,0.0926,0.0,0.002
beta-beta,50,17.625,0.05,0,1,0,2,220,998,2.9642,0.2378,0.002,0.22
beta-beta,50,19.40625,0.05,0,0,0,283,541,717,3.9093,0.3094,0.283,0.541
beta-exponential,50,17.625,0.05,0,1,0,49,890,951,2.6996,0.1897,0.049,0.89
beta-exponential,50,19.40625,0.05,0,0,0,966,97,34,4.0032,0.2179,0.966,0.097
beta-normal,50,17.625,0.05,0,1,0,999,91,1,2.4751,0.1285,0.999,0.091
beta-normal,50,19.40625,0.05,0,0,0,1000,52,0,3.5002,0.0977,1.0,0.052
beta-uniform,50,17.625,0.05,0,1,0,959,17,41,2.4772,0.1741,0.959,0.017
beta-uniform,50,19.40625,0.05,0,0,0,1000,28,0,3.5231,0.1179,1.0,0.028
beta-weibull,50,17.625,0.05,0,1,0,48,896,952,2.7072,0.1738,0.048,0.896
beta-weibull,50,19.40625,0.05,0,0,0,953,124,47,4.0026,0.2325,0.953,0.124
exponential,50,17.625,0.05,0,1,0,0,332,0,2.8707,0.3019,0.0,0.332
exponential,50,19.40625,0.05,0,0,0,0,106,0,4.213,0.2203,0.0,0.106
exponential-beta,50,17.625,0.05,0,1,0,10,201,990,3.2747,0.3395,0.01,0.201
exponential-beta,50,19.40625,0.05,0,0,0,886,188,114,4.1128,0.1913,0.886,0.188
exponential-exponential,50,17.625,0.05,0,1,0,13,285,987,3.2033,0.29,0.013,0.285
exponential-exponential,50,19.40625,0.05,0,0,0,992,196,8,3.9235,0.2233,0.992,0.196
exponential-normal,50,17.625,0.05,0,1,0,531,233,469,2.89,0.3501,0.531,0.233
exponential-normal,50,19.40625,0.05,0,0,0,998,125,2,3.5628,0.1755,0.998,0.125
exponential-uniform,50,17.625,0.05,0,1,0,19,204,981,3.2792,0.3126,0.019,0.204
exponential-uniform,50,19.40625,0.05,0,0,0,999,83,1,3.813,0.15,0.999,0.083
exponential-weibull,50,17.625,0.05,0,1,0,20,252,980,3.3465,0.4107,0.02,0.252
exponential-weibull,50,19.40625,0.05,0,0,0,990,177,10,3.9248,0.2107,0.99,0.177
normal,50,17.625,0.05,0,1,0,0,139,0,3.1696,0.1926,0.0,0.139
normal,50,19.40625,0.05,0,0,0,0,53,0,4.2338,0.1538,0.0,0.053
normal-beta,50,17.625,0.05,0,1,0,129,66,871,3.2749,0.2185,0.129,0.066
normal-beta,50,19.40625,0.05,0,0,0,915,110,85,4.1414,0.1529,0.915,0.11
normal-exponential,50,17.625,0.05,0,1,0,72,469,928,3.0085,0.2583,0.072,0.469
normal-exponential,50,19.40625,0.05,0,0,0,270,606,730,4.5226,0.4619,0.27,0.606
normal-normal,50,17.625,0.05,0,1,0,942,116,58,2.5971,0.1655,0.942,0.116
normal-normal,50,19.40625,0.05,0,0,0,1000,58,0,3.5191,0.3426,1.0,0.058
normal-uniform,50,17.625,0.05,0,1,0,19,65,981,3.1722,0.2315,0.019,0.065
normal-uniform,50,19.40625,0.05,0,0,0,1000,74,0,3.8804,0.2575,1.0,0.074
normal-weibull,50,17.625,0.05,0,1,0,78,435,922,3.085,0.2814,0.078,0.435
normal-weibull,50,19.40625,0.05,0,0,0,241,613,759,4.2461,0.3635,0.241,0.613
uniform,50,17.625,0.05,0,1,0,0,32,0,3.1978,0.1178,0.0,0.032
uniform,50,19.40625,0.05,0,0,0,0,4,0,4.2729,0.0616,0.0,0.004
uniform-beta,50,17.625,0.05,0,1,0,0,116,1000,3.3442,0.2923,0.0,0.116
uniform-beta,50,19.40625,0.05,0,0,0,3,288,997,4.1576,0.2743,0.003,0.288
uniform-exponential,50,17.625,0.05,0,1,0,54,813,946,2.7393,0.293,0.054,0.813
uniform-exponential,50,19.40625,0.05,0,0,0,980,114,20,3.9408,0.2191,0.98,0.114
uniform-normal,50,17.625,0.05,0,1,0,1000,78,0,2.5742,0.096,1.0,0.078
uniform-normal,50,19.40625,0.05,0,0,0,1000,47,0,3.509,0.1106,1.0,0.047
uniform-uniform,50,17.625,0.05,0,1,0,972,10,28,2.8214,0.2639,0.972,0.01
uniform-uniform,50,19.40625,0.05,0,0,0,998,29,2,3.533,0.1192,0.998,0.029
uniform-weibull,50,17.625,0.05,0,1,0,55,792,945,2.9595,0.3008,0.055,0.792
uniform-weibull,50,19.40625,0.05,0,0,0,981,107,19,3.9327,0.2043,0.981,0.107
weibull,50,17.625,0.05,0,1,0,0,307,0,2.8987,0.3114,0.0,0.307
weibull,50,19.40625,0.05,0,0,0,0,115,0,4.1934,0.2147,0.0,0.115
weibull-beta,50,17.625,0.05,0,1,0,38,203,962,3.1132,0.2363,0.038,0.203
weibull-beta,50,19.40625,0.05,0,0,0,989,134,11,3.9706,0.1795,0.989,0.134
weibull-exponential,50,17.625,0.05,0,1,0,29,265,971,3.4069,0.5389,0.029,0.265
weibull-exponential,50,19.40625,0.05,0,0,0,1000,246,0,3.8806,0.2247,1.0,0.246
weibull-normal,50,17.625,0.05,0,1,0,181,197,819,3.2624,0.464,0.181,0.197
weibull-normal,50,19.40625,0.05,0,0,0,996,113,4,3.6316,0.1804,0.996,0.113
weibull-uniform,50,17.625,0.05,0,1,0,20,184,980,3.1294,0.232,0.02,0.184
weibull-uniform,50,19.40625,0.05,0,0,0,197,221,803,4.3741,0.3556,0.197,0.221
weibull-weibull,50,17.625,0.05,0,1,0,33,283,967,2.9859,0.2605,0.033,0.283
weibull-weibull,50,19.40625,0.05,0,0,0,995,184,5,3.8732,0.1991,0.995,0.184
