configuration,order,forgetting_factor,smoothing_window_size,threshold,TP,FP,FN,work_time_mean,work_time_std,power,significance
beta,1,0.97,10,1.556640625,0,125,0,0.2164,0.0064,0.0,0.125
beta,1,0.97,15,1.037109375,0,129,0,0.2134,0.0097,0.0,0.129
beta,1,0.99,10,3.96875,0,117,0,0.2151,0.0094,0.0,0.117
beta,1,0.99,15,1.890625,0,117,0,0.2147,0.0101,0.0,0.117
beta-beta,1,0.97,10,1.556640625,0,168,1000,0.217,0.005,0.0,0.168
beta-beta,1,0.97,15,1.037109375,0,157,1000,0.2146,0.0045,0.0,0.157
beta-beta,1,0.99,10,3.96875,0,121,1000,0.2163,0.0046,0.0,0.121
beta-beta,1,0.99,15,1.890625,0,122,1000,0.2151,0.0048,0.0,0.122
beta-exponential,1,0.97,10,1.556640625,0,514,1000,0.2161,0.0053,0.0,0.514
beta-exponential,1,0.97,15,1.037109375,0,481,1000,0.2131,0.0055,0.0,0.481
beta-exponential,1,0.99,10,3.96875,0,112,1000,0.2164,0.0042,0.0,0.112
beta-exponential,1,0.99,15,1.890625,0,112,1000,0.2148,0.0044,0.0,0.112
beta-normal,1,0.97,10,1.556640625,1000,155,0,0.2142,0.0051,1.0,0.155
beta-normal,1,0.97,15,1.037109375,1000,368,0,0.2091,0.0055,1.0,0.368
beta-normal,1,0.99,10,3.96875,1000,172,0,0.2118,0.0045,1.0,0.172
beta-normal,1,0.99,15,1.890625,1000,374,0,0.2092,0.0056,1.0,0.374
beta-uniform,1,0.97,10,1.556640625,1000,121,0,0.2146,0.0052,1.0,0.121
beta-uniform,1,0.97,15,1.037109375,999,133,1,0.2106,0.0049,0.999,0.133
beta-uniform,1,0.99,10,3.96875,0,112,1000,0.2162,0.0043,0.0,0.112
beta-uniform,1,0.99,15,1.890625,0,112,1000,0.215,0.0041,0.0,0.112
beta-weibull,1,0.97,10,1.556640625,2,510,998,0.2156,0.005,0.002,0.51
beta-weibull,1,0.97,15,1.037109375,0,500,1000,0.213,0.0053,0.0,0.5
beta-weibull,1,0.99,10,3.96875,0,102,1000,0.2162,0.0043,0.0,0.102
beta-weibull,1,0.99,15,1.890625,0,101,1000,0.2152,0.0044,0.0,0.101
exponential,1,0.97,10,1.556640625,0,337,0,0.2163,0.0053,0.0,0.337
exponential,1,0.97,15,1.037109375,0,277,0,0.2136,0.0053,0.0,0.277
exponential,1,0.99,10,3.96875,0,141,0,0.2161,0.0046,0.0,0.141
exponential,1,0.99,15,1.890625,0,146,0,0.2145,0.0044,0.0,0.146
exponential-beta,1,0.97,10,1.556640625,12,183,988,0.1857,0.0046,0.012,0.183
exponential-beta,1,0.97,15,1.037109375,6,161,994,0.2146,0.0046,0.006,0.161
exponential-beta,1,0.99,10,3.96875,0,118,1000,0.2154,0.0041,0.0,0.118
exponential-beta,1,0.99,15,1.890625,0,121,1000,0.2146,0.0044,0.0,0.121
exponential-exponential,1,0.97,10,1.556640625,14,398,986,0.1849,0.0043,0.014,0.398
exponential-exponential,1,0.97,15,1.037109375,4,390,996,0.2138,0.0047,0.004,0.39
exponential-exponential,1,0.99,10,3.96875,0,109,1000,0.2158,0.0041,0.0,0.109
